   c  s cnt l n  v  L C  A  D  r h  w f  b rh g lg p nas 
t[_h_c 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
d_c 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dj_c 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
d[_c 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
d[_h_c 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tr_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
trh_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
tR_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dr_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
dR_c 1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 0 0 0 -1 -1 0 -1 -1
c_c 1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
cw_c 1 -1 -1 -1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
c}_c 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
c}h_c 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
J_c 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
k_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
kw_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 1 1 -1 0 0 -1 -1 0 -1 -1
kj_c 1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
g_c 1 -1 -1 -1 -1 1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
gj_c 1 -1 -1 -1 -1 1 -1 -1 0 1 -1 1 -1 0 0 -1 -1 0 -1 -1
