# Hangel Syllables
AFBC	k> u n
AFBD	k> u n tS
AFBE	k> u n h
AFBF	k> u t
AFC0	k> u l
AFC1	k> u l k
AFC2	k> u l m
AFC3	k> u l p
AFC4	k> u l sh
AFC5	k> u l th
AFC6	k> u l ph
AFC7	k> u l h
AFC8	k> u m
AFC9	k> u p
AFCA	k> u p sh
AFCB	k> u sh
AFCC	k> u s
AFCD	k> u d
AFCE	k> u tS
AFCF	k> u tSh
AFD0	k> u kh
AFD1	k> u th
AFD2	k> u ph
AFD3	k> u h
AFD4	k> w ^
AFD5	k> w ^ k
AFD6	k> w ^ k>
AFD7	k> w ^ k sh
AFD8	k> w ^ n
AFD9	k> w ^ n tS
AFDA	k> w ^ n h
AFDB	k> w ^ t
AFDC	k> w ^ l
AFDD	k> w ^ l k
AFDE	k> w ^ l m
AFDF	k> w ^ l p
AFE0	k> w ^ l sh
AFE1	k> w ^ l th
AFE2	k> w ^ l ph
AFE3	k> w ^ l h
AFE4	k> w ^ m
AFE5	k> w ^ p
AFE6	k> w ^ p sh
AFE7	k> w ^ sh
AFE8	k> w ^ s
AFE9	k> w ^ N
AFEA	k> w ^ tS
AFEB	k> w ^ tSh
AFEC	k> w ^ kh
AFED	k> w ^ th
AFEE	k> w ^ ph
AFEF	k> w ^ h
AFF0	k> w E
AFF1	k> w E k
AFF2	k> w E k>
AFF3	k> w E k sh
AFF4	k> w E n
AFF5	k> w E n tS
AFF6	k> w E n h
AFF7	k> w E t
AFF8	k> w E l
AFF9	k> w E l k
AFFA	k> w E l m
AFFB	k> w E l p
AFFC	k> w E l sh
AFFD	k> w E l th
AFFE	k> w E l ph
AFFF	k> w E l h
B000	k> w E m
B001	k> w E p
B002	k> w E p sh
B003	k> w E sh
B004	k> w E s
B005	k> w E N
B006	k> w E tS
B007	k> w E tSh
B008	k> w E kh
B009	k> w E th
B00A	k> w E ph
B00B	k> w E h
B00C	k> 7
B00D	k> 7 k
B00E	k> 7 k>
B00F	k> 7 k sh
B010	k> 7 n
B011	k> 7 n tS
B012	k> 7 n h
B013	k> 7 t
B014	k> 7 l
B015	k> 7 l k
B016	k> 7 l m
B017	k> 7 l p
B018	k> 7 l sh
B019	k> 7 l th
B01A	k> 7 l ph
B01B	k> 7 l h
B01C	k> 7 m
B01D	k> 7 p
B01E	k> 7 p sh
B01F	k> 7 sh
B020	k> 7 s
B021	k> 7 N
B022	k> 7 tS
B023	k> 7 tSh
B024	k> 7 kh
B025	k> 7 th
B026	k> 7 ph
B027	k> 7 h
B028	k> j u
B029	k> j u k
B02A	k> j u k>
B02B	k> j u k sh
B02C	k> j u n
B02D	k> j u n tS
B02E	k> j u n h
B02F	k> j u t
B030	k> j u l
B031	k> j u l k
B032	k> j u l m
B033	k> j u l p
B034	k> j u l sh
B035	k> j u l th
B036	k> j u l ph
B037	k> j u l h
B038	k> j u m
B039	k> j u p
B03A	k> j u p sh
B03B	k> j u sh
B03C	k> j u s
B03D	k> j u N
B03E	k> j u tS
B03F	k> j u tSh
B040	k> j u kh
B041	k> j u th
B042	k> j u ph
B043	k> j u h
B044	k> 4
B045	k> 4 k
B046	k> 4 k>
B047	k> 4 k sh
B048	k> 4 n
B049	k> 4 n tS
B04A	k> 4 n h
B04B	k> 4 t
B04C	k> 4 l
B04D	k> 4 l k
B04E	k> 4 l m
B04F	k> 4 l p
B050	k> 4 l sh
B051	k> 4 l th
B052	k> 4 l ph
B053	k> 4 l h
B054	k> 4 m
B055	k> 4 p
B056	k> 4 p sh
B057	k> 4 sh
B058	k> 4 s
B059	k> 4 N
B05A	k> 4 tS
B05B	k> 4 tSh
B05C	k> 4 kh
B05D	k> 4 th
B05E	k> 4 ph
B05F	k> 4 h
B060	k> 4 j
B061	k> 4 j k
B062	k> 4 j k>
B063	k> 4 j k sh
B064	k> 4 j n
B065	k> 4 j n tS
B066	k> 4 j n h
B067	k> 4 j t
B068	k> 4 j l
B069	k> 4 j l k
B06A	k> 4 j l m
B06B	k> 4 j l p
B06C	k> 4 j l sh
B06D	k> 4 j l th
B06E	k> 4 j l ph
B06F	k> 4 j l h
B070	k> 4 j m
B071	k> 4 j p
B072	k> 4 j p sh
B073	k> 4 j sh
B074	k> 4 j s
B075	k> 4 j N
B076	k> 4 j tS
B077	k> 4 j tSh
B078	k> 4 j kh
B079	k> 4 j th
B07A	k> 4 j ph
B07B	k> 4 j h
B07C	k> i
B07D	k> i k
B07E	k> i k>
B07F	k> i k sh
B080	k> i n
B081	k> i n tS
B082	k> i n h	
B083	k> i t
B084	k> i l
B085	k> i l k
B086	k> i l m
B087	k> i l p
B088	k> i l sh
B089	k> i l th
B08A	k> i l ph
B08B	k> i l h
B08C	k> i m
B08D	k> i p
B08E	k> i p sh
B08F 	k> i sh
B090	k> i s
B091	k> i N
B092	k> i tS
B093	k> i tSh
B094	k> i kh
B095	k> i th	
B096	k> i ph
B097	k> i h
B098	n a
B099	n a k
B09A	n a k>
B09B	n a k sh
B09C	n a n
B09D	n a n tS
B09E	n a n h
B09F	n a t
B0A0	n a l
B0A1	n a l k
B0A2	n a l m
B0A3	n a l p
B0A4	n a l sh
B0A5	n a l th
B0A6	n a l ph
B0A7	n a l h
B0A8	n a m
B0A9	n a p
B0AA	n a p sh
B0AB	n a sh
B0AC	n a s
B0AD	n a N
B0AE	n a tS
B0AF	n a tSh
B0B0	n a kh
B0B1	n a th	
B0B2	n a ph
B0B3	n a h
B0B4	n @
B0B5	n @ k
B0B6	n @ k>
B0B7	n @ k sh
B0B8	n @ n
B0B9	n @ n tS
B0BA	n @ n h
B0BB	n @ t
B0BC	n @ l
B0BD	n @ l k
B0BE	n @ l m
B0BF	n @ l p
B0C0	n @ l sh
B0C1	n @ l th
B0C2	n @ l ph
B0C3	n @ l h
B0C4	n @ m
B0C5	n @ p
B0C6	n @ p sh
B0C7	n @ sh
B0C8	n @ s
B0C9	n @ N
B0CA	n @ tS
B0CB	n @ tSh
B0CC	n @ kh
B0CD	n @ th
B0CE	n @ ph
B0CF	n @ h
B0D0	n j a
B0D1	n j a k
B0D2	n j a k>
B0D3	n j a k sh
B0D4	n j a n
B0D5	n j a n tS
B0D6	n j a n h
B0D7	n j a t
B0D8	n j a l
B0D9	n j a l k
B0DA	n j a l m
B0DB	n j a l p
B0DC	n j a l sh
B0DD	n j a l th
B0DE	n j a l ph
B0DF	n j a l h
B0E0	n j a m
B0E1	n j a p
B0E2	n j a p sh
B0E3	n j a sh
B0E4	n j a s
B0E5	n j a N
B0E6	n j a tS
B0E7	n j a tSh
B0E8	n j a kh
B0E9	n j a th
B0EA	n j a ph
B0EB	n j a h
B0EC	n j @
B0ED	n j @ k
B0EE	n j @ k>
B0EF	n j @ k sh
B0F0	n j @ n
B0F1	n j @ n tS
B0F2	n j @ n h	
B0F3	n j @ t
B0F4	n j @ l
B0F5	n j @ l k
B0F6	n j @ l m
B0F7	n j @ l p
B0F8	n j @ l sh
B0F9	n j @ l th
